Part Number,Description,Qty,Total Price,Link
C10852,4*4*1.7 贴片 (Tact Switch),5,0.1035,https://lcsc.com/search?q=C10852
C23380830,AP2112K-3.3TRG1,5,0.4405,https://lcsc.com/search?q=C23380830
C25744,0402WGF1002TCE,2,0.0012,https://lcsc.com/search?q=C25744
C1622,CL10B473KB8NNNC,2,0.0106,https://lcsc.com/search?q=C1622
C18077642,BX-TYPE-C-MWT16P,7,1.6695,https://lcsc.com/search?q=C18077642
C2831497,434MHz-SMA Flexible antenna,2,3.615,https://lcsc.com/search?q=C2831497
C9002,X322512MSB4SI,2,0.129,https://lcsc.com/search?q=C9002
C25076,0402WGF1000TCE,2,0.001,https://lcsc.com/search?q=C25076
C14709,BLM18PG121SN1D,2,0.012,https://lcsc.com/search?q=C14709
C49569550,2011-1X04G00LB,2,0.0426,https://lcsc.com/search?q=C49569550
C2040,RP2040,2,1.833,https://lcsc.com/search?q=C2040
C329840,SDT0402T-150M-N,5,1.7925,https://lcsc.com/search?q=C329840
C131025,W25Q16JVSSIQ,2,1.11,https://lcsc.com/search?q=C131025
C97998,LQG15HS47NJ02D,20,0.152,https://lcsc.com/search?q=C97998
C1567,0402CG470J500NT,2,0.002,https://lcsc.com/search?q=C1567
C274349,RC0402FR-0727R4L,20,0.008,https://lcsc.com/search?q=C274349
C1565,0402CG3R3C500NT,20,0.02,https://lcsc.com/search?q=C1565
C1623,CL10B474KA8NNNC,2,0.014,https://lcsc.com/search?q=C1623
C15525,CL05A106MQ5NUNC,4,0.018,https://lcsc.com/search?q=C15525
C52923,CL05A105KA5NQNC,4,0.0116,https://lcsc.com/search?q=C52923
C12674,X49SM8MSD2SC,2,0.1704,https://lcsc.com/search?q=C12674
C1548,0402CG150J500NT,4,0.004,https://lcsc.com/search?q=C1548
C11702,0402WGF1001TCE,4,0.0024,https://lcsc.com/search?q=C11702
C162547,LQG15HS9N1J02D,20,0.118,https://lcsc.com/search?q=C162547
C1525,CL05B104KO5NNNC,24,0.0288,https://lcsc.com/search?q=C1525
C25905,0402WGF5101TCE,4,0.002,https://lcsc.com/search?q=C25905
C1523,0402B102K500NT,2,0.0022,https://lcsc.com/search?q=C1523
C191341,SX1262IMLTRT,2,6.204,https://lcsc.com/search?q=C191341
C47117600,TPE4259-63,5,0.6805,https://lcsc.com/search?q=C47117600
C1619,0603B393K500NT,20,0.076,https://lcsc.com/search?q=C1619
